stage_id	correlation_id	static_name	default_enabled	dynamic_string	allocation
contract.scalar.score	1001	ce_exop_contract_scalar_score	false	false	false
contract.warp.score	1002	ce_exop_contract_warp_score	false	false	false
relation.hybrid.mma	1101	ce_exop_relation_hybrid_mma	false	false	false
relation.hybrid.residual	1102	ce_exop_relation_hybrid_residual	false	false	false
relation.panel.0	1201	ce_exop_relation_panel_0	false	false	false
relation.panel.residual	1202	ce_exop_relation_panel_residual	false	false	false
relation.sparse.apply	1301	ce_exop_relation_sparse_apply	false	false	false
relation.wmma.apply	1401	ce_exop_relation_wmma_apply	false	false	false
relation.wmma.residual	1402	ce_exop_relation_wmma_residual	false	false	false
segment.cta.reduce	1501	ce_exop_segment_cta_reduce	false	false	false
segment.warp.reduce	1502	ce_exop_segment_warp_reduce	false	false	false
segment.softmax.max	1601	ce_exop_segment_softmax_max	false	false	false
segment.softmax.sum	1602	ce_exop_segment_softmax_sum	false	false	false
segment.softmax.apply	1603	ce_exop_segment_softmax_apply	false	false	false
