source_repository,source_branch,source_commit,source_path,sha256,bytes,disposition,proposed_target,migration_task,required_gate,provenance_rule,status
git@github.com:tumlinso/CellShard.git,main,b9749ad3e5146a04f847533d8c6f1a54146aed20,.todo-orchestrator/state.snapshot.json,507a4042b353e14c65ddc569136b029ac4409b36b6b48cc403d9dbe5262961f7,7294963,preserve in place,CellShard:.todo-orchestrator/state.snapshot.json,CE-CCP1-A02-012,CE-CCP1-A02-012-GATE,JBC-PROV-PRESERVE-IN-PLACE,source-frozen
git@github.com:tumlinso/CellShard.git,main,b9749ad3e5146a04f847533d8c6f1a54146aed20,CMakeLists.txt,f26e350999ad817553fbc8e259a951ffd8bf9dc9ba342720fff88c343cf46985,49302,split,Cellerator+CellShard:assigned-by-CE-CCP1-A03-014,CE-CCP1-A03-014,CE-CCP1-A03-014-GATE,JBC-PROV-SPLIT,source-frozen
git@github.com:tumlinso/CellShard.git,main,b9749ad3e5146a04f847533d8c6f1a54146aed20,bench/jbc/bicluster/bicluster_cases_v1.cc,a5e7c2e275b987a290a11459bb259e2f4130732538ba94e0738e4a6d028b3385,1642,adapt,bench/compiler/bicluster/bicluster_cases_v1.cc,CE-CCP1-E02-016,CE-CCP1-E02-018-GATE,JBC-PROV-ADAPT,source-frozen
git@github.com:tumlinso/CellShard.git,main,b9749ad3e5146a04f847533d8c6f1a54146aed20,bench/jbc/grammar/induced_flat_dag_fixtures.cc,60a5d9e20702bae222ec56d96c17350de149953d968df2d089b139f489576cbd,726,adapt,bench/compiler/grammar/induced_flat_dag_fixtures.cc,CE-CCP1-E03-014,CE-CCP1-E03-018-GATE,JBC-PROV-ADAPT,source-frozen
git@github.com:tumlinso/CellShard.git,main,b9749ad3e5146a04f847533d8c6f1a54146aed20,bench/jbc/grammar/induced_promotion_gate.cc,c7ba428e055350e724837b83f955d7baecf4eeff8385c52033105577da45b1db,899,adapt,bench/compiler/grammar/induced_promotion_gate.cc,CE-CCP1-E03-014,CE-CCP1-E03-018-GATE,JBC-PROV-ADAPT,source-frozen
git@github.com:tumlinso/CellShard.git,main,b9749ad3e5146a04f847533d8c6f1a54146aed20,bench/jbc/runtime/dual_numa_process_campaign.cu,301f138900a5cbc37eab7a58a60269b6455b5b9c6ea0c88799941cd3a4e0a6be,7866,preserve in place,CellShard:bench/jbc/runtime/dual_numa_process_campaign.cu,CE-CCP1-E03-013,CE-CCP1-E03-018-GATE,JBC-PROV-PRESERVE-IN-PLACE,source-frozen
git@github.com:tumlinso/CellShard.git,main,b9749ad3e5146a04f847533d8c6f1a54146aed20,bench/jbc/runtime/results/2026-09-01-dual-numa-process-campaign.json,4313d67b9f32a254830262cb65bfa4738b97821948e6389ac4e202eea12fc8a6,1844,preserve in place,CellShard:bench/jbc/runtime/results/2026-09-01-dual-numa-process-campaign.json,CE-CCP1-E03-013,CE-CCP1-E03-018-GATE,JBC-PROV-PRESERVE-IN-PLACE,source-frozen
git@github.com:tumlinso/CellShard.git,main,b9749ad3e5146a04f847533d8c6f1a54146aed20,bench/jbc/trajectory/trajectory_null_gate.cc,f2abe21091acd2d519b07e5b20cb43338bf3f8e460692eca9acfefc3ab248c01,884,adapt,bench/compiler/trajectory/trajectory_null_gate.cc,CE-CCP1-E02-016,CE-CCP1-E02-018-GATE,JBC-PROV-ADAPT,source-frozen
git@github.com:tumlinso/CellShard.git,main,b9749ad3e5146a04f847533d8c6f1a54146aed20,docs/JBC/evidence/biological_novelty_readiness.md,df9436ace4414869f39c18b178178473d0f4c221778fad753ee14eb9663f746b,1857,preserve in place,CellShard:docs/JBC/evidence/biological_novelty_readiness.md,CE-CCP1-A02-012,CE-CCP1-A02-012-GATE,JBC-PROV-PRESERVE-IN-PLACE,source-frozen
git@github.com:tumlinso/CellShard.git,main,b9749ad3e5146a04f847533d8c6f1a54146aed20,docs/JBC/evidence/integration_receipt.md,0da1344fda1f818c7fed6dad0d14c06d26eadaeb31fcad3cd5e9322cef51b865,1657,preserve in place,CellShard:docs/JBC/evidence/integration_receipt.md,CE-CCP1-A02-012,CE-CCP1-A02-012-GATE,JBC-PROV-PRESERVE-IN-PLACE,source-frozen
