source_task_id,target_task_id,dependency_kind,source_checkpoint_id,required_state
CE-CCP1-A01-001,CE-CCP1-A01-002,task,,done
CE-CCP1-A01-002,CE-CCP1-A01-003,task,,done
CE-CCP1-A01-003,CE-CCP1-A01-004,task,,done
CE-CCP1-A01-004,CE-CCP1-A01-005,task,,done
CE-CCP1-A01-005,CE-CCP1-A01-006,task,,done
CE-CCP1-A01-006,CE-CCP1-A01-007,task,,done
CE-CCP1-A01-007,CE-CCP1-A01-008,task,,done
CE-CCP1-A01-008,CE-CCP1-A01-009,task,,done
CE-CCP1-A02-001,CE-CCP1-A02-002,task,,done
CE-CCP1-A02-002,CE-CCP1-A02-003,task,,done
CE-CCP1-A02-003,CE-CCP1-A02-004,task,,done
CE-CCP1-A02-004,CE-CCP1-A02-005,task,,done
CE-CCP1-A02-005,CE-CCP1-A02-006,task,,done
CE-CCP1-A02-006,CE-CCP1-A02-007,task,,done
CE-CCP1-A02-007,CE-CCP1-A02-008,task,,done
CE-CCP1-A02-008,CE-CCP1-A02-009,task,,done
CE-CCP1-A02-009,CE-CCP1-A02-010,task,,done
CE-CCP1-A02-010,CE-CCP1-A02-011,task,,done
CE-CCP1-A02-011,CE-CCP1-A02-012,task,,done
CE-CCP1-A01-009,CE-CCP1-A02-012,checkpoint:CE-CCP1-CP-A01,CE-CCP1-CP-A01,reached
CE-CCP1-A03-001,CE-CCP1-A03-002,task,,done
CE-CCP1-A03-002,CE-CCP1-A03-003,task,,done
CE-CCP1-A03-003,CE-CCP1-A03-004,task,,done
CE-CCP1-A03-004,CE-CCP1-A03-005,task,,done
CE-CCP1-A03-005,CE-CCP1-A03-006,task,,done
CE-CCP1-A03-006,CE-CCP1-A03-007,task,,done
CE-CCP1-A03-007,CE-CCP1-A03-008,task,,done
CE-CCP1-A03-008,CE-CCP1-A03-009,task,,done
CE-CCP1-A03-009,CE-CCP1-A03-010,task,,done
CE-CCP1-A03-010,CE-CCP1-A03-011,task,,done
CE-CCP1-A03-011,CE-CCP1-A03-012,task,,done
CE-CCP1-A03-012,CE-CCP1-A03-013,task,,done
CE-CCP1-A03-013,CE-CCP1-A03-014,task,,done
CE-CCP1-A02-012,CE-CCP1-A03-014,checkpoint:CE-CCP1-CP-A02,CE-CCP1-CP-A02,reached
CE-CCP1-A04-001,CE-CCP1-A04-002,task,,done
CE-CCP1-A04-002,CE-CCP1-A04-003,task,,done
CE-CCP1-A04-003,CE-CCP1-A04-004,task,,done
CE-CCP1-A04-004,CE-CCP1-A04-005,task,,done
CE-CCP1-A04-005,CE-CCP1-A04-006,task,,done
CE-CCP1-A04-006,CE-CCP1-A04-007,task,,done
CE-CCP1-A04-007,CE-CCP1-A04-008,task,,done
CE-CCP1-A04-008,CE-CCP1-A04-009,task,,done
CE-CCP1-A04-009,CE-CCP1-A04-010,task,,done
CE-CCP1-A03-014,CE-CCP1-A04-010,checkpoint:CE-CCP1-CP-A03,CE-CCP1-CP-A03,reached
CE-CCP1-M00,CE-CCP1-B01-000,checkpoint:CE-CCP1-MILESTONE-M00,CE-CCP1-MILESTONE-M00,reached
CE-CCP1-M00,CE-CCP1-B01-001,checkpoint:CE-CCP1-MILESTONE-M00,CE-CCP1-MILESTONE-M00,reached
CE-CCP1-B01-001,CE-CCP1-B01-002,task,,done
CE-CCP1-B01-002,CE-CCP1-B01-003,task,,done
CE-CCP1-B01-003,CE-CCP1-B01-004,task,,done
CE-CCP1-B01-004,CE-CCP1-B01-005,task,,done
CE-CCP1-B01-005,CE-CCP1-B01-006,task,,done
CE-CCP1-B01-006,CE-CCP1-B01-007,task,,done
CE-CCP1-B01-007,CE-CCP1-B01-008,task,,done
CE-CCP1-B01-008,CE-CCP1-B01-009,task,,done
CE-CCP1-B01-009,CE-CCP1-B01-010,task,,done
CE-CCP1-B01-010,CE-CCP1-B01-011,task,,done
CE-CCP1-B01-011,CE-CCP1-B01-012,task,,done
CE-CCP1-A04-010,CE-CCP1-B01-012,checkpoint:CE-CCP1-CP-A04,CE-CCP1-CP-A04,reached
CE-CCP1-M00,CE-CCP1-B02-000,checkpoint:CE-CCP1-MILESTONE-M00,CE-CCP1-MILESTONE-M00,reached
CE-CCP1-M00,CE-CCP1-B02-001,checkpoint:CE-CCP1-MILESTONE-M00,CE-CCP1-MILESTONE-M00,reached
CE-CCP1-B02-001,CE-CCP1-B02-002,task,,done
CE-CCP1-B02-002,CE-CCP1-B02-003,task,,done
CE-CCP1-B02-003,CE-CCP1-B02-004,task,,done
CE-CCP1-B02-004,CE-CCP1-B02-005,task,,done
CE-CCP1-B02-005,CE-CCP1-B02-006,task,,done
CE-CCP1-B02-006,CE-CCP1-B02-007,task,,done
CE-CCP1-B02-007,CE-CCP1-B02-008,task,,done
