task_id,lane_id,mode,path
CE-NF1-A01,CE-NF1-L-A,exclusive,docs/glasshelix_execution_foundation_v1/baseline
CE-NF1-A01,CE-NF1-L-A,exclusive,docs/glasshelix_execution_foundation_v1/ownership
CE-NF1-A01,CE-NF1-L-A,exclusive,docs/glasshelix_execution_foundation_v1/records/ce-nf1-a01.json
CE-NF1-A02,CE-NF1-L-A,exclusive,docs/glasshelix_execution_foundation_v1/baseline
CE-NF1-A02,CE-NF1-L-A,exclusive,docs/glasshelix_execution_foundation_v1/ownership
CE-NF1-A02,CE-NF1-L-A,exclusive,docs/glasshelix_execution_foundation_v1/records/ce-nf1-a02.json
CE-NF1-A03,CE-NF1-L-A,exclusive,docs/glasshelix_execution_foundation_v1/baseline
CE-NF1-A03,CE-NF1-L-A,exclusive,docs/glasshelix_execution_foundation_v1/ownership
CE-NF1-A03,CE-NF1-L-A,exclusive,docs/glasshelix_execution_foundation_v1/records/ce-nf1-a03.json
CE-NF1-A04,CE-NF1-L-A,exclusive,docs/glasshelix_execution_foundation_v1/baseline
CE-NF1-A04,CE-NF1-L-A,exclusive,docs/glasshelix_execution_foundation_v1/ownership
CE-NF1-A04,CE-NF1-L-A,exclusive,docs/glasshelix_execution_foundation_v1/records/ce-nf1-a04.json
CE-NF1-C01,CE-NF1-L-C,exclusive,include/Cellerator/compute/operation/operation_core_v2/schema.hh
CE-NF1-C01,CE-NF1-L-C,exclusive,include/Cellerator/compute/operation/native_foundation_contract.hh
CE-NF1-C01,CE-NF1-L-C,exclusive,docs/glasshelix_execution_foundation_v1/contracts
CE-NF1-C01,CE-NF1-L-C,exclusive,docs/glasshelix_execution_foundation_v1/records/ce-nf1-c01.json
CE-NF1-C02,CE-NF1-L-C,exclusive,include/Cellerator/compute/operation/operation_core_v2/schema.hh
CE-NF1-C02,CE-NF1-L-C,exclusive,include/Cellerator/compute/operation/native_foundation_contract.hh
CE-NF1-C02,CE-NF1-L-C,exclusive,docs/glasshelix_execution_foundation_v1/contracts
CE-NF1-C02,CE-NF1-L-C,exclusive,docs/glasshelix_execution_foundation_v1/records/ce-nf1-c02.json
CE-NF1-C03,CE-NF1-L-C,exclusive,include/Cellerator/compute/operation/operation_core_v2/schema.hh
CE-NF1-C03,CE-NF1-L-C,exclusive,include/Cellerator/compute/operation/native_foundation_contract.hh
CE-NF1-C03,CE-NF1-L-C,exclusive,docs/glasshelix_execution_foundation_v1/contracts
CE-NF1-C03,CE-NF1-L-C,exclusive,docs/glasshelix_execution_foundation_v1/records/ce-nf1-c03.json
CE-NF1-C04,CE-NF1-L-C,exclusive,include/Cellerator/compute/operation/operation_core_v2/schema.hh
CE-NF1-C04,CE-NF1-L-C,exclusive,include/Cellerator/compute/operation/native_foundation_contract.hh
CE-NF1-C04,CE-NF1-L-C,exclusive,docs/glasshelix_execution_foundation_v1/contracts
CE-NF1-C04,CE-NF1-L-C,exclusive,docs/glasshelix_execution_foundation_v1/records/ce-nf1-c04.json
CE-NF1-C05,CE-NF1-L-C,exclusive,include/Cellerator/compute/operation/operation_core_v2/schema.hh
CE-NF1-C05,CE-NF1-L-C,exclusive,include/Cellerator/compute/operation/native_foundation_contract.hh
