producer_task,consumer_task
CE-JBC-B01,CE-JBC-B02
CE-JBC-B02,CE-JBC-B03
CE-JBC-B03,CE-JBC-B04
CE-JBC-B04,CE-JBC-B05
CE-JBC-B05,CE-JBC-B06
CE-JBC-B06,CE-JBC-I01
CE-JBC-I01,CE-JBC-I02
CE-JBC-I02,CE-JBC-I03
CE-JBC-I03,CE-JBC-I04
CE-JBC-I04,CE-JBC-I05
CE-JBC-I05,CE-JBC-I06
CE-JBC-I06,CE-JBC-I07
CE-JBC-I07,CE-JBC-I08
CE-JBC-I08,CE-JBC-I09
CE-JBC-I09,CE-JBC-I10
CE-JBC-I10,CE-JBC-I11
CE-JBC-I11,CE-JBC-I12
CE-JBC-I12,CE-JBC-D01
CE-JBC-D01,CE-JBC-D02
CE-JBC-D02,CE-JBC-D03
CE-JBC-D03,CE-JBC-D04
CE-JBC-D04,CE-JBC-D05
CE-JBC-D05,CE-JBC-D06
CE-JBC-D06,CE-JBC-D07
CE-JBC-D07,CE-JBC-D08
CE-JBC-D08,CE-JBC-D09
CE-JBC-D09,CE-JBC-D10
CE-JBC-D10,CE-JBC-D11
CE-JBC-D11,CE-JBC-D12
CE-JBC-D12,CE-JBC-D13
CE-JBC-D13,CE-JBC-D14
CE-JBC-D14,CE-JBC-D15
CE-JBC-D15,CE-JBC-D16
CE-JBC-D16,CE-JBC-D17
CE-JBC-D17,CE-JBC-D18
CE-JBC-D18,CE-JBC-F01
CE-JBC-F01,CE-JBC-F02
CE-JBC-F02,CE-JBC-F03
CE-JBC-F03,CE-JBC-F04
CE-JBC-F04,CE-JBC-F05
CE-JBC-F05,CE-JBC-F06
CE-JBC-F06,CE-JBC-F07
CE-JBC-F07,CE-JBC-F08
CE-JBC-F08,CE-JBC-F09
CE-JBC-F09,CE-JBC-F10
CE-JBC-F10,CE-JBC-F11
CE-JBC-F11,CE-JBC-F12
CE-JBC-F12,CE-JBC-F13
CE-JBC-F13,CE-JBC-F14
CE-JBC-F14,CE-JBC-M01
CE-JBC-M01,CE-JBC-M02
CE-JBC-M02,CE-JBC-M03
CE-JBC-M03,CE-JBC-M04
CE-JBC-M04,CE-JBC-M05
CE-JBC-M05,CE-JBC-M06
CE-JBC-M06,CE-JBC-M07
CE-JBC-M07,CE-JBC-M08
CE-JBC-M08,CE-JBC-M09
CE-JBC-M09,CE-JBC-M10
CE-JBC-I12,CE-JBC-P01
CE-JBC-P01,CE-JBC-P02
CE-JBC-P02,CE-JBC-P03
CE-JBC-P03,CE-JBC-P04
CE-JBC-P04,CE-JBC-P05
CE-JBC-P05,CE-JBC-P06
CE-JBC-P06,CE-JBC-P07
CE-JBC-P07,CE-JBC-P08
CE-JBC-P08,CE-JBC-P09
CE-JBC-P09,CE-JBC-P10
CE-JBC-F14,CE-JBC-R01
CE-JBC-R01,CE-JBC-R02
CE-JBC-R02,CE-JBC-R03
CE-JBC-R03,CE-JBC-R04
CE-JBC-R04,CE-JBC-R05
CE-JBC-R05,CE-JBC-R06
CE-JBC-R06,CE-JBC-R07
CE-JBC-R07,CE-JBC-R08
CE-JBC-R08,CE-JBC-R09
