interface,version,primary_header,sha256,classification,validator_or_guard,adjacent_extension_only
operation_core,2,include/Cellerator/compute/operation/operation_core_v2/schema.hh,8cb0eac80df4318c3c9e9e477097e222df630d505aaa377ccfad68d527a425c2,preserve,validate_operation_problem,register new semantics through versioned records or a v3 schema
relation_algebra,2,include/Cellerator/compute/operation/relation_algebra_v2/relation_algebra.hh,e5c7bf0cb94bad30cf2a53f10ba0d33da38129b89ca152fac896c63aec5db126,preserve,validate_relation_algebra_problem,add versioned operations or composition records without renumbering v2 enums
CSG1,1,include/Cellerator/geometry/persistence/semantic_geometry_image_v1.hh,6b32cc12b8156d4e8fde1ceda6f2192ec01abe8ceb0526147596a9a3a6e864f2,preserve,validate_semantic_geometry_image_v1,use optional sections or an adjacent top-level version
CPE2,2,include/Cellerator/geometry/persistence/execution_image_v2.hh,efbe675cc85850b1061cd1c694c16ded8d6655e0d826958309476ce109d7aadc,preserve,validate_execution_image_v2_host,use extension sections or adjacent projection records; require an audit before CPE3
CPK1,1,include/Cellerator/geometry/persistent_packing_payload.hh,700c8d5cb4fae2d57b415aff09ef15324575c8927cb66d2a9978bc5e05186d0a,compatibility-only,validate_persistent_packing_payload_host,adapt unchanged bytes into CPE2 or a new adjacent format
projection_value_plane,1,include/Cellerator/execution/projection_value_plane/projection_value_plane_v1.hh,34a85958777c2b063e142afc5b73b679bb3367a9a3fdbf5df94309cb2ae07433,preserve,validate_frozen_projection_value_plane_v1,add pack candidates or a sibling v2 contract
candidate_catalog,3,include/Cellerator/compute/operation/candidate_catalog_v3/catalog.h,8cbdd003c8d7083ff128bdd31c49dec2e8ac5f348d6910b1d177fb96b3916b30,preserve,validate_candidate_catalog_v3,register descriptors within v3 or introduce v4 for record changes
program,2,include/Cellerator/execution/program/program_v2.h,1fbe5bf1f2f26b0e43dce54f43f256f7d2b5eabfe9547317777def6ce57c8fbb,preserve,validate_prepared_program_v2,compose representable stages or introduce program v3
training_program,2,include/Cellerator/execution/training_program_v2/interface.hh,7fa82b12afdfd4d591bdcadac0bfc20362144dd649c2fd25d360458f317a11e4,preserve,validate_training_program_v2,compose new stage graphs or introduce training program v3
geometry_acquisition,2,include/Cellerator/execution/geometry_acquisition_v2/schema.hh,c9547db4d029bf54e0db25a57be73b4a2d31a8873efd75f0e6c6bdce7da944d3,preserve,validate_request,add external-payload or projection adapters; use v3 for schema changes
hierarchical_index_space,1,include/Cellerator/execution/index_space/hierarchical_index_space_v1.hh,682a03e2ba191dbdbb43755ff346890841138437d7e711db244cb7fba9dbbd48,preserve,static layout assertions plus make_component_grid_v1 diagnostics,add a separate aggregate validator or adjacent v2 records
