depends_on_task_id,task_id
CE-RU1-I01,CE-RU1-C01
CE-RU1-C01,CE-RU1-C02
CE-RU1-C02,CE-RU1-C03
CE-RU1-C03,CE-RU1-I02
CE-RU1-I02,CE-RU1-N01
CE-RU1-N01,CE-RU1-N02
CE-RU1-N02,CE-RU1-N03
CE-RU1-N03,CE-RU1-N04
CE-RU1-N04,CE-RU1-N05
CE-RU1-R02,CE-RU1-N05
CE-RU1-W04,CE-RU1-N05
CE-RU1-N05,CE-RU1-N06
CE-RU1-I02,CE-RU1-R01
CE-RU1-R01,CE-RU1-R02
CE-RU1-R02,CE-RU1-R03
CE-RU1-I02,CE-RU1-W01
CE-RU1-W01,CE-RU1-W02
CE-RU1-W02,CE-RU1-W03
CE-RU1-W03,CE-RU1-W04
CE-RU1-N03,CE-RU1-W04
CE-RU1-W04,CE-RU1-W05
CE-RU1-I02,CE-RU1-F01
CE-RU1-F01,CE-RU1-F02
CE-RU1-F02,CE-RU1-F03
CE-RU1-F03,CE-RU1-F04
CE-RU1-I02,CE-RU1-V01
CE-RU1-V01,CE-RU1-V02
CE-RU1-N03,CE-RU1-V02
CE-RU1-W04,CE-RU1-V02
CE-RU1-V02,CE-RU1-V03
CE-RU1-N06,CE-RU1-V03
CE-RU1-V03,CE-RU1-V04
CE-RU1-R03,CE-RU1-V04
CE-RU1-V04,CE-RU1-V05
CE-RU1-W05,CE-RU1-V05
CE-RU1-N06,CE-RU1-I03
CE-RU1-R03,CE-RU1-I03
CE-RU1-W05,CE-RU1-I03
CE-RU1-F04,CE-RU1-I03
CE-RU1-V05,CE-RU1-I03
CE-RU1-I03,CE-RU1-I04
CE-RU1-I04,CE-RU1-I05
CE-RU1-I05,CE-RU1-I06
CE-RU1-I06,CE-RU1-I07
CE-RU1-I07,CE-RU1-I08
